field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2",SDG&E,2014/07/22 00:00:00,10:25,32.7899,-116.8455,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"7",SDG&E,2016/02/18 00:00:00,0:00,32.7063,-116.397,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2016
"10",SCE,2020/05/26 00:00:00,22:39,34.1034,-116.498,Other,10 - 99 Acres,Overhead,Vandalism/Theft,False,2020
"12",SCE,2020/11/09 00:00:00,7:49,34.0865,-116.52,Vegetation,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2020
"17",SDG&E,2020/08/22 00:00:00,13:38,33.074416,-116.57734,Vegetation,< 0.25 Acres,Overhead Yes,Equipment/Facility Failure,False,2020
"18",SDG&E,2015/07/27 00:00:00,14:30,33.0665,-116.579,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"19",SDG&E,2020/07/17 00:00:00,16:30,33.090351,-116.579773,Vegetation,< 0.25 Acres,Overhead Yes,Contact From Object,False,2020
"21",SDG&E,2016/07/11 00:00:00,13:19,33.114605,-116.584271,,.26 - 9.99 Acres,Overhead,Equipment/Facility Failure,False,2016
"23",SDG&E,2017/10/07 00:00:00,17:40,32.591426,-116.621583,,.26 - 9.99 Acres,Overhead,Equipment/Facility Failure,False,2017
"24",SDG&E,2020/02/26 00:00:00,0:17,32.914,-116.64,Vegetation,< 0.25 Acres,Overhead Yes,Equipment/Facility Failure,False,2020
"26",SDG&E,,16:51,32.865,-116.66,Vegetation,.26 - 9.99 Acres,Overhead Yes,,False,
"30",SDG&E,2017/09/05 00:00:00,14:49,32.619082,-116.694943,,< 0.25 Acres,Overhead,Contact From Object,True,2017
"31",SDG&E,2015/04/29 00:00:00,12:00,32.6061,-116.69604,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2015
"32",SDG&E,2016/11/02 00:00:00,10:30,32.837264,-116.702158,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2016
"33",SDG&E,2017/06/12 00:00:00,11:20,32.842997,-116.71111,,< 0.25 Acres,Overhead,Contact From Object,True,2017
"34",SDG&E,2016/09/23 00:00:00,11:25,32.738037,-116.733272,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2016
"35",SDG&E,2016/07/29 00:00:00,10:57,33.070958,-116.742431,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2016
"36",SDG&E,2015/09/08 00:00:00,11:45,33.0726,-116.74355,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2015
"37",SCE,2020/11/18 20:20:00,20:47,33.9028,-116.754,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2020
"39",SDG&E,2014/05/13 00:00:00,9:00,32.6405,-116.772,,.26 - 9.99 Acres,Overhead,Wire-Wire Contact,False,2014
"40",SDG&E,2014/05/13 00:00:00,8:35,32.7543,-116.778,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"41",SDG&E,2017/09/27 00:00:00,16:10,32.727192,-116.778791,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2017
"42",SDG&E,2014/09/13 00:00:00,20:30,32.7211,-116.7801,,.26 - 9.99 Acres,Overhead,Unknown,False,2014
"43",SDG&E,2014/06/04 00:00:00,9:30,33.0191,-116.828,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"44",SDG&E,2014/08/28 00:00:00,9:30,33.0191,-116.8281,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"45",SDG&E,2015/04/28 00:00:00,13:30,32.8917,-116.8419,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"46",SDG&E,2014/10/11 00:00:00,4:00,32.946,-116.8466,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"48",SDG&E,2017/06/29 00:00:00,14:58,32.6933964,-116.855195,,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"50",SDG&E,,9:51,32.678,-116.86,Vegetation,.26 - 9.99 Acres,Overhead Yes,Equipment/Facility Failure,False,
"54",SDG&E,2014/05/31 00:00:00,11:30,33.3146,-116.8661,,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"56",SDG&E,2020/07/29 00:00:00,17:14,32.737,-116.875,Vegetation,< 0.25 Acres,Overhead Yes,Equipment/Facility Failure,False,2020
"59",SDG&E,2017/10/16 00:00:00,10:20,33.0697,-116.8813,,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"61",SDG&E,2020/09/30 00:00:00,10:45,33.054689,-116.8913305,Vegetation,.26 - 9.99 Acres,Overhead Yes,Equipment/Facility Failure,False,2020
"62",SDG&E,2015/04/09 00:00:00,17:23,32.7233,-116.8922,,.26 - 9.99 Acres,Overhead,Unknown,False,2015
"65",SCE,2015/04/17 00:00:00,8:41,33.639703,-116.900997,,< 0.25 Acres,Overhead,Other,False,2015
"71",SDG&E,2016/07/22 00:00:00,Unknown,33.201456,-116.935199,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2016
"77",SDG&E,2014/04/28 00:00:00,13:30,33.2926,-116.948,,< 0.25 Acres,Overhead,Equipment/Facility Failure,False,2014
"78",SDG&E,2014/04/28 00:00:00,16:20,33.2887,-116.956,,< 0.25 Acres,Overhead,Contact From Object,True,2014
"82",SDG&E,2016/02/12 00:00:00,19:30,33.242742,-116.966438,,< 0.25 Acres,Overhead,Vandalism/Theft,False,2016
"89",SCE,2015/06/29 00:00:00,14:21,34.005542,-116.980466,Other,< 0.25 Acres,Overhead,Contact From Object,True,2015
"90",SDG&E,2020/07/05 00:00:00,14:08,33.08719,-116.985551,Vegetation,.26 - 9.99 Acres,Overhead Yes,Equipment/Facility Failure,False,2020
"91",SDG&E,2020/09/12 00:00:00,7:00,33.0872,-116.9856,Vegetation,.26 - 9.99 Acres,Overhead Yes,7:00 Equipment/Facility Failure,False,2020
"96",SDG&E,2015/07/17 00:00:00,9:48,33.175042,-117.0125,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"102",SCE,2020/05/18 00:00:00,12:10,33.8587,-117.02,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2020
"135",SDG&E,2017/10/18 00:00:00,7:20,33.9932254,-117.1232409,,< 0.25 Acres,Overhead,Contact From Object,True,2017
"139",SDG&E,2020/09/02 00:00:00,19:30,33.362,-117.136,Vegetation,< 0.25 Acres,Overhead Yes,19:30 Equipment/Facility Failure,False,2020
"211",SCE,2020/06/13 00:00:00,17:26,33.782,-117.47,Vegetation,10 - 99 Acres,Overhead,Contact From Object,True,2020
"215",SCE,2020/06/13 00:00:00,20:06,33.8473,-117.515,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2020
"228",SCE,2015/05/30 00:00:00,15:30,33.709731,-117.645947,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"229",SCE,2015/05/30 00:00:00,15:26,33.709731,-117.645947,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"232",SCE,2015/05/05 00:00:00,16:00,33.71101,-117.708946,,< 0.25 Acres,Overhead,Contact From Object,True,2015
"234",SCE,2015/07/13 00:00:00,11:15,33.767847,-117.720723,,100 - 299 Acres,Overhead,Unknown,False,2015
